Name,Date,Total Cell,Live Cell,Dead Cell,Viability,Average Cell Size,Protocol,Total Num,Live Num,Dead Num
,27/05/2022 10:34,1.66E07,1.62E07,3.90E05,97.6%,13.4,DEFAULT,3530,3447,83
,27/05/2022 10:33,1.49E07,1.37E07,1.16E06,92.2%,13.0,DEFAULT,3168,2921,247
,27/05/2022 10:32,1.30E07,1.20E07,1.02E06,92.2%,13.2,DEFAULT,2779,2562,217
,27/05/2022 10:31,1.34E07,1.23E07,1.03E06,92.3%,13.3,DEFAULT,2847,2628,219
,27/05/2022 10:29,1.49E07,1.35E07,1.38E06,90.8%,13.3,DEFAULT,3169,2876,293
ror1-2,27/05/2022 09:24,1.16E07,1.03E07,1.34E06,88.5%,13.7,DEFAULT,2478,2193,285
,26/05/2022 14:48,3.77E06,3.70E06,7.04E04,98.1%,12.0,DEFAULT,803,788,15
,26/05/2022 14:48,4.01E06,3.93E06,7.04E04,98.2%,12.3,DEFAULT,853,838,15
,26/05/2022 13:42,4.42E06,4.26E06,1.64E05,96.3%,11.6,DEFAULT,941,906,35
,25/05/2022 13:08,6.02E06,5.20E06,8.22E05,86.4%,13.3,DEFAULT,1283,1108,175
,25/05/2022 13:07,5.71E06,4.72E06,9.86E05,82.7%,13.1,DEFAULT,1216,1006,210
,25/05/2022 13:06,6.82E06,5.56E06,1.26E06,81.5%,14.5,DEFAULT,1452,1184,268
,25/05/2022 13:04,5.55E06,4.76E06,7.89E05,85.8%,13.6,DEFAULT,1182,1014,168
,25/05/2022 13:03,6.95E06,6.41E06,5.35E05,92.3%,14.9,DEFAULT,1480,1366,114
,25/05/2022 13:01,6.43E06,5.59E06,8.41E05,86.9%,13.2,DEFAULT,1370,1191,179
,25/05/2022 13:00,5.81E06,4.89E06,9.20E05,84.2%,14.4,DEFAULT,1238,1042,196
,25/05/2022 12:58,5.30E06,4.53E06,7.70E05,85.5%,14.0,DEFAULT,1129,965,164
,25/05/2022 12:56,6.51E06,5.28E06,1.23E06,81.1%,13.8,DEFAULT,1386,1124,262
,25/05/2022 12:54,5.61E06,4.89E06,7.14E05,87.3%,14.4,DEFAULT,1194,1042,152
,25/05/2022 12:53,7.28E06,6.41E06,8.78E05,87.9%,15.0,DEFAULT,1551,1364,187
,25/05/2022 12:52,6.13E06,4.96E06,1.17E06,80.9%,12.7,DEFAULT,1306,1057,249
,25/05/2022 12:50,6.02E06,5.54E06,4.84E05,92.0%,14.4,DEFAULT,1282,1179,103
,25/05/2022 12:48,8.13E06,4.75E06,3.38E06,58.4%,13.9,DEFAULT,1731,1011,720
,25/05/2022 12:35,1.03E07,1.01E07,1.41E05,98.6%,12.2,DEFAULT,2182,2152,30
,25/05/2022 12:34,1.16E07,1.14E07,1.88E05,98.4%,12.5,DEFAULT,2474,2434,40
,25/05/2022 12:33,9.53E06,9.38E06,1.46E05,98.5%,12.7,DEFAULT,2029,1998,31
,25/05/2022 12:32,1.01E07,9.99E06,1.22E05,98.8%,12.7,DEFAULT,2154,2128,26
,25/05/2022 12:31,8.25E06,8.11E06,1.36E05,98.3%,13.0,DEFAULT,1757,1728,29
,25/05/2022 10:05,7.65E06,6.41E06,1.25E06,83.7%,12.6,DEFAULT,1629,1364,265
,25/05/2022 10:04,9.95E06,8.57E06,1.38E06,86.1%,12.3,DEFAULT,2119,1825,294
,25/05/2022 10:03,9.36E06,8.33E06,1.03E06,89.0%,16.6,DEFAULT,1993,1773,220
,25/05/2022 10:02,9.56E06,8.48E06,1.08E06,88.7%,14.8,DEFAULT,2036,1806,230
,25/05/2022 10:01,8.45E06,7.58E06,8.69E05,89.7%,16.1,DEFAULT,1800,1615,185
,25/05/2022 10:00,1.13E07,9.32E06,1.96E06,82.6%,13.8,DEFAULT,2403,1985,418
,24/05/2022 14:33,8.50E06,8.41E06,8.92E04,99.0%,12.2,DEFAULT,1810,1791,19
,24/05/2022 09:18,6.27E06,5.41E06,8.59E05,86.3%,14.0,DEFAULT,1335,1152,183
,24/05/2022 09:15,9.78E06,8.55E06,1.24E06,87.4%,14.4,DEFAULT,2083,1820,263
,24/05/2022 09:14,8.95E06,6.79E06,2.16E06,75.9%,14.5,DEFAULT,1905,1445,460
,24/05/2022 09:13,8.76E06,7.12E06,1.65E06,81.2%,14.5,DEFAULT,1866,1515,351
,24/05/2022 09:12,9.00E06,6.70E06,2.30E06,74.4%,14.0,DEFAULT,1917,1427,490
,24/05/2022 09:11,9.21E06,6.55E06,2.66E06,71.1%,13.5,DEFAULT,1961,1395,566
,24/05/2022 09:09,6.89E06,6.78E06,1.08E05,98.4%,12.1,DEFAULT,1467,1444,23
,24/05/2022 09:08,6.36E06,6.25E06,1.17E05,98.2%,13.0,DEFAULT,1355,1330,25
,23/05/2022 15:04,6.96E06,6.83E06,1.27E05,98.2%,12.0,DEFAULT,1482,1455,27
,23/05/2022 15:03,5.07E06,5.01E06,6.57E04,98.7%,13.0,DEFAULT,1080,1066,14
,23/05/2022 11:40,6.06E06,5.95E06,1.08E05,98.2%,12.8,DEFAULT,1290,1267,23
,23/05/2022 11:38,8.04E06,7.62E06,4.27E05,94.7%,16.2,DEFAULT,1713,1622,91
,23/05/2022 11:37,6.63E06,4.67E06,1.96E06,70.5%,14.9,DEFAULT,1412,995,417
,23/05/2022 11:34,8.67E06,8.29E06,3.76E05,95.7%,14.8,DEFAULT,1846,1766,80
,23/05/2022 10:53,7.14E06,6.51E06,6.34E05,91.1%,13.8,DEFAULT,1521,1386,135
,23/05/2022 10:53,7.12E06,6.18E06,9.44E05,86.8%,13.3,DEFAULT,1517,1316,201
,23/05/2022 10:51,6.21E06,5.10E06,1.12E06,82.0%,13.6,DEFAULT,1323,1085,238
